,SIC,Horizontal,"CAR(-1, +1)","CAR(-2, +2)",Crossborder,Cash,Leverage,Acquiror size,Date (years)
10095,2050,0,0.0111153,0.0063991,1,0,0.2100256,1056.241,2012
10096,2050,0,0.0082686,0.0078707,1,0,0.2106726,1507.627,2013
10097,2050,0,-0.043188,-0.085973,1,0,0.1983411,1799.569,2014
10098,2050,0,-0.024781,-0.033418,1,0,0.2286771,760.543,2007
10099,3942,0,-0.023794,0.0227619,1,0,0.2957862,508.595,2008
10100,3942,0,-0.016681,-0.018405,1,1,0.3429427,494.883,2012
10101,3942,0,-0.005666,-0.019581,1,0,0.3429427,417.606,2012
10102,3942,0,0.0271237,-0.01247,0,0,0.3456851,502.359,2011
10103,3942,1,-0.061098,-0.012298,0,0,0.2425812,680.613,2008
10104,5311,0,-0.004436,0.0046703,1,0,0.6272496,7418.049,2009
10105,5311,0,0.0150426,0.0094115,1,1,0.6453611,6975.433,2011
10106,7372,0,0.0068958,-0.004511,0,0,0.265071,497.452,2009
10107,7372,1,0.0838507,0.1257641,1,1,0.3636911,562.676,2008
10108,7372,1,0.0648926,0.0835375,1,0,0.25095,775.894,2009
10109,3576,0,0.0971635,0.1306105,1,1,0.4512291,1838.903,2010
10110,3576,0,0.0033676,0.0134669,1,0,0.4139372,3017.706,2007
10111,3576,0,0.058136,0.0692799,0,1,0.4124331,3576.561,2013
10112,3576,0,0.0917677,0.0399304,1,0,0.4802621,3803.771,2007
10113,3576,0,0.0159598,0.0747516,0,0,0.4376749,2380.705,2012
10114,3576,0,0.0291591,0.0184064,1,1,0.462096,1296.96,2009
10115,3576,0,0.0660302,0.0888099,0,0,0.4443434,1998.009,2012
10116,3576,0,0.0232188,-0.010105,0,0,0.4683115,3234.091,2007
10117,3576,0,-0.040383,-0.052374,1,1,0.4710217,2908.371,2013
10118,3576,0,0.0405741,-0.042236,1,0,0.4732842,3651.464,2007
10119,3576,0,-0.067456,-0.082055,0,0,0.4583072,4007.919,2011
10120,3576,0,-0.061474,-0.027455,1,0,0.3907866,6637.828,2006
10121,3576,0,-0.00818,-0.036484,1,0,0.4710217,2898.825,2013
10122,3576,0,-0.054675,-0.098641,1,1,0.4139372,3053.894,2008
10123,1311,0,-0.077155,-0.108178,0,0,0.4689601,6.293,2007
10124,1311,1,0.1399997,-0.010711,0,0,0.3629073,11.83,2007
10125,6211,0,0.0009109,-0.004365,1,0,0.7669087,147.922,2010
10126,4610,0,0.0157177,0.0314312,1,0,0.2613134,214.033,2015
10127,6020,0,-0.008517,-0.009406,0,1,0.918239,153425.79,2007
10128,6020,0,-0.006192,4.61e-05,0,0,0.918144,132886.2,2009
10129,6020,0,-0.007975,-0.006954,0,0,0.9164579,169395.26,2007
10130,6020,0,0.0038207,0.0103218,1,0,0.913973,155045.52,2012
10131,6020,0,0.0103402,0.0176683,0,0,0.9189806,145326.91,2012
10132,6020,0,0.0135216,0.0209183,0,0,0.9188315,0.004,2010
10133,6020,0,0.0123603,0.0276122,0,0,0.9188315,150542.44,2010
10134,6020,0,-0.004202,0.0052635,1,0,0.9161007,213146.03,2014
10135,6020,0,-0.018405,-0.047099,1,0,0.9150356,160509.97,2010
10136,6020,0,-0.086813,-0.065734,0,0,0.9211207,150840.25,2008
10137,6020,0,-0.097775,-0.218462,0,0,0.9232736,90378.0,2009
10138,6020,0,-0.016634,-0.018821,0,0,0.9142285,210622.85,2013
10139,6020,0,0.0086573,0.0418066,1,0,0.9151281,168764.79,2007
10140,6020,0,-0.020328,-0.023643,1,0,0.918144,133600.56,2009
10141,6020,0,-0.017418,-0.025667,0,0,0.9151281,165470.76,2006
10142,6020,0,0.0162754,0.0100493,0,1,0.9205035,180127.3,2009
10143,6020,0,-0.024145,-0.018042,1,0,0.9178413,154183.18,2011
10144,6020,0,-0.011864,-0.000255,0,0,0.9178413,181249.7,2011
10145,6020,0,-0.00232,0.0082765,0,0,0.909812,217621.6,2015
10146,6020,0,0.0212414,-0.003902,0,0,0.9189105,156796.88,2008
10147,6020,0,-0.017232,0.0136009,1,0,0.9211207,138069.27,2008
10148,6020,0,-0.012583,0.000112,0,1,0.9186191,170551.51,2010
10149,6020,0,0.0120923,0.012144,1,0,0.9186034,160435.5,2011
10150,6020,0,-0.005063,-0.011982,0,0,0.9186034,140482.77,2011
10151,6020,0,0.0186387,0.018224,0,0,0.9184243,154702.92,2012
10152,6020,0,-0.030579,-0.027416,1,1,0.9235316,154678.38,2008
10153,6020,0,-0.019776,-0.025727,0,0,0.9352232,102938.42,2008
10154,6020,0,0.0166908,-0.010977,1,0,0.9015329,230328.29,2015
10155,6020,0,0.1948672,0.1084781,1,0,0.9249996,130599.55,2008
10156,6020,0,0.0467948,0.0496162,1,1,0.9143261,170367.79,2007
10157,3672,0,0.0124971,0.0027309,0,0,0.4990824,6993.7,2006
10158,3672,0,0.0195734,0.0450817,0,1,0.4990824,7094.326,2006
10159,3672,0,0.0339673,0.0176057,1,0,0.7463753,3949.829,2013
10160,3672,1,-0.01604,-0.031189,1,0,0.4975281,5022.735,2006
10161,3672,0,-0.032713,-0.013391,1,1,0.7426673,4559.032,2013
10162,3672,0,-0.005314,-0.008934,0,1,0.5760171,6222.161,2006
10163,3672,0,0.0222068,0.079922,1,0,0.7197389,4057.167,2011
10164,7373,0,-0.02026,-0.033311,1,0,0.276016,4673.41,2014
10165,7373,0,0.0161592,0.0549147,1,0,0.4037251,1749.615,2009
10166,7373,0,0.0267005,0.0189911,1,0,0.2809039,1653.481,2005
10167,7373,0,0.0083541,0.0371363,1,0,0.2987904,2029.636,2006
10168,7373,0,0.0042337,-0.002241,1,1,0.3097102,2087.995,2010
